source_id,section,text
IDSA_2023_Cdiff_Tx,dx,"Antibiotic exposure + ≥3 unformed stools/day → test C. difficile toxins; treat confirmed cases with fidaxomicin or vancomycin."
ACOG_OB_Emergency_2020,uterine_rupture,"Prior cesarean + abdominal pain + fetal distress + loss of station suggests uterine rupture; immediate surgical exploration is indicated."
NICE_HeartFailure_2022,pericardial,"Constrictive pericarditis: Kussmaul sign, pericardial knock, respiratory ventricular interdependence; limited response to diuretics."
NEJM_Derm_Patterns,reactive_perforating,"Reactive perforating collagenosis: umbilicated keratotic papules with transepidermal elimination; often pruritic on extensor surfaces."
AAN_2021_Myasthenia,dx,"Acetylcholine-receptor antibody positivity with fatigable ocular or bulbar weakness supports myasthenia gravis; symptoms worsen with exertion and improve with rest."
PML_Tysabri_Safety,neuro_infect,"Natalizumab exposure is associated with risk of progressive multifocal leukoencephalopathy; MRI shows multifocal non-enhancing demyelinating lesions in white matter."
ConstrictivePericarditis_Core,cardio,"Jugular venous distention with Kussmaul sign, pericardial knock, and ventricular interdependence on imaging favor constrictive pericarditis over restrictive cardiomyopathy."
HemolyticAnemia_Haptoglobin,heme,"Hemolytic anemia presents with elevated LDH, indirect bilirubin, reticulocytosis, and low haptoglobin; peripheral smear may show spherocytes or schistocytes depending on cause."
MicturitionSyncope,neuro_syncope,"Situational syncope triggered during or after urination in otherwise healthy individuals suggests a vasovagal mechanism with normal ECG findings."
Exogenous_Ochronosis,derm,"Long-term hydroquinone use can cause blue-black or gray-brown facial hyperpigmentation, often mottled, sparing mucosa; biopsy shows dermal yellow-brown pigment (ochronosis)."
Necrobiosis_Lipoidica,derm,"Shiny yellow-brown atrophic plaques with telangiectasias on anterior shins, often in diabetes; borders elevated with central atrophy; may ulcerate."
Erythema_Nodosum,derm,"Tender, erythematous subcutaneous nodules on anterior shins; usually no ulceration; often post-streptococcal, sarcoidosis, IBD, or drugs."
Hidradenitis_Suppurativa,derm,"Recurrent painful nodules, abscesses, and sinus tracts in intertriginous areas (axilla, groin); double-comedones; chronic scarring."
Molluscum_Contagiosum,derm,"Umbilicated, dome-shaped papules; central dell with keratin plug; common in children, immunosuppressed adults, or after skin trauma."
Scabies_Burrows,derm,"Intensely pruritic papules worse at night; burrows in finger webs, wrists, waistline; close contacts often affected."
Tinea_Versicolor,derm,"Hypo- or hyper-pigmented finely scaling macules on trunk; KOH shows ‘spaghetti and meatballs’ (hyphae + spores)."
Tinea_Capitis,derm,"Scalp scaling with patchy alopecia and broken hairs; posterior cervical lymphadenopathy in children; treat with oral antifungal."
Bazex_Acrodermatitis,derm_paraneoplastic,"Violaceous psoriasiform plaques of nose, ears, and acral sites; often paraneoplastic (upper aerodigestive SCC)."
Phyllodes_Tumor,breast,"Rapidly enlarging, firm, mobile breast mass with leaf-like architecture on histology; may mimic fibroadenoma but grows quickly; wide local excision needed."
Fibroadenoma_Classic,breast,"Well-circumscribed, mobile, rubbery breast mass in young women; slow growth; ultrasound shows oval, homogeneous, parallel mass."
Keratoacanthoma,derm_onc,"Rapidly growing crateriform nodule with central keratin plug on sun-exposed skin; considered a variant of squamous cell carcinoma."
BasalCell_Nodular,derm_onc,"Pearly papule with telangiectasias and rolled borders; ulceration (‘rodent ulcer’) in advanced lesions; sun-exposed areas."
Derm_Drug_Eruption_Morbilliform,derm,"Symmetric pruritic erythematous maculopapular rash starting on trunk 1–2 weeks after new medication; spares mucosa."
Livedo_Racemosa,derm_vascular,"Irregular, broken, net-like violaceous patches suggest livedo racemosa; consider vasculopathy/antiphospholipid syndrome."
Leukocytoclastic_Vasculitis,derm_vasculitis,"Palpable purpura on dependent areas; biopsy with neutrophilic small-vessel vasculitis and leukocytoclasia; can be drug- or infection-related."
Keratoconus_Signs,oph,"Progressive myopia/astigmatism with scissoring reflex, Munson sign (V-shaped lid on downgaze), and Vogt striae; conical cornea on topography."
Pterygium_vs_Pinguecula,oph,"Pterygium is a triangular fibrovascular growth crossing the limbus toward cornea; pinguecula is a yellow conjunctival deposit that does not cross the limbus."
Entropion_vs_Ectropion,oph,"Entropion is inward eyelid turning causing lash-corneal irritation; ectropion is outward turning with exposure symptoms and tearing."
Anterior_Uveitis,oph,"Painful red eye with photophobia, consensual pain, and cells/flare on slit lamp; small irregular pupil from posterior synechiae."
Scleritis_Features,oph,"Severe, boring eye pain worse with eye movement; diffuse or nodular violaceous scleral injection; may be associated with systemic autoimmune disease."
CRAO_Classic,oph,"Sudden painless monocular vision loss; fundus shows pale retina with a cherry-red spot at the fovea; afferent pupillary defect present."
Schistosoma_haematobium,id_urology,"Terminal hematuria and urinary frequency in endemic exposure; calcified bladder wall on imaging; risk of squamous cell carcinoma of bladder."
Leprosy_Borderline,id_derm_neuro,"Hypopigmented or erythematous anesthetic patches with thickened peripheral nerves; loss of temperature/pain sensation within lesions."
Cutaneous_Leishmaniasis,id_derm,"Chronic painless ulcer with raised indurated borders at sandfly-exposed sites; travel/residency in endemic regions."
Hirschsprung_Classic,peds_gi,"Delayed passage of meconium (>48 hours), abdominal distension, explosive stool after rectal exam; contrast enema shows transition zone; rectal biopsy is diagnostic."
Cdiff_Test_Treat,id_gi,"≥3 unformed stools/day after antibiotic exposure: test for C. difficile toxins; treat confirmed infection with fidaxomicin or vancomycin."
Uterine_Rupture_Signs,ob_emerg,"Laboring patient with prior uterine surgery who develops sudden abdominal pain, fetal distress, and loss of fetal station—suspect uterine rupture and proceed to emergent laparotomy."
AIN_Drug,renal,"Acute interstitial nephritis: fever, rash, eosinophilia, and rising creatinine after new drug (e.g., beta-lactam, PPI, NSAID); urine with WBCs/WBC casts; eosinophiluria variably present."
Amyloidosis_Dialysis,renal,"Long-term hemodialysis predisposes to beta-2 microglobulin amyloidosis; presents with shoulder/wrist pain, carpal tunnel, and bone cysts; radiographs may show lytic lesions near joints."
ANCA_AAV,rheum,"ANCA-associated vasculitis causes pulmonary-renal syndrome with hematuria, RBC casts, nodular/cavitating lung lesions; treat with steroids plus rituximab or cyclophosphamide."
AS_InlfammatoryBackPain,rheum,"Inflammatory back pain starts <40 years, improves with exercise, not rest; limited chest expansion and sacroiliitis on imaging; HLA-B27 frequent."
Acromegaly_Features,endocrine,"Coarsened facial features, enlarged hands/feet, widened spaced teeth, skin tags, and deep voice; screen with IGF-1, confirm with oral glucose GH suppression test."
Quadriceps_Tendon_Rupture,ortho,"Acute knee pain with inability to actively extend the knee or perform straight-leg raise; palpable suprapatellar gap; patella baja on imaging."
